iso3_country,original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,cement,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-12 17:27:09.365533,
ABW,cement,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-12 17:27:09.365542,
ABW,cement,2023-01-01 00:00:00,2023-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:09.365522,
AFG,cement,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:07.572524,
AFG,cement,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,75672.0,tonnes,annual,2023-10-12 17:27:07.572508,
AFG,cement,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,75672.0,tonnes,annual,2023-10-12 17:27:07.572543,
AFG,cement,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,75672.0,tonnes,annual,2023-10-12 17:27:07.572552,
AFG,cement,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:07.572534,
AFG,cement,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:07.759237,
AFG,cement,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,102096.0,tonnes,annual,2023-10-12 17:27:07.759217,
AFG,cement,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,102096.0,tonnes,annual,2023-10-12 17:27:07.759264,
AFG,cement,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,102096.0,tonnes,annual,2023-10-12 17:27:07.759276,
AFG,cement,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:07.759251,
AFG,cement,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:08.009634,
AFG,cement,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,179052.0,tonnes,annual,2023-10-12 17:27:08.009615,
AFG,cement,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,179052.0,tonnes,annual,2023-10-12 17:27:08.009661,
AFG,cement,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,179052.0,tonnes,annual,2023-10-12 17:27:08.009673,
AFG,cement,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:08.009648,
AFG,cement,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:08.265466,
AFG,cement,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,111720.0,tonnes,annual,2023-10-12 17:27:08.265434,
AFG,cement,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,111720.0,tonnes,annual,2023-10-12 17:27:08.265491,
AFG,cement,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,111720.0,tonnes,annual,2023-10-12 17:27:08.265504,
AFG,cement,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:08.265479,
AFG,cement,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:08.518937,
AFG,cement,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,24000.0,tonnes,annual,2023-10-12 17:27:08.518916,
AFG,cement,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,24000.0,tonnes,annual,2023-10-12 17:27:08.518963,
AFG,cement,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,24000.0,tonnes,annual,2023-10-12 17:27:08.518975,
AFG,cement,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:08.51895,
